Date,Message
2017-08-17T00:00:00.000-00:00,"date,close,ema10,ema55,ema200,dist_p10,dist_p55,dist_p200,slope10,slope55,slope200,dist_10_55,dist_55_200,ratio_armonico"
2017-08-17T00:00:00.000-00:00,"2017-08-17 00:00,4285.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN"
2017-08-18T00:00:00.000-00:00,"2017-08-18 00:00,4108.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN"
2017-08-19T00:00:00.000-00:00,"2017-08-19 00:00,4139.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN"
2017-08-20T00:00:00.000-00:00,"2017-08-20 00:00,4086.29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN"
2017-08-21T00:00:00.000-00:00,"2017-08-21 00:00,4016,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN"
2017-08-22T00:00:00.000-00:00,"2017-08-22 00:00,4040,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN"
2017-08-23T00:00:00.000-00:00,"2017-08-23 00:00,4114.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN"
2017-08-24T00:00:00.000-00:00,"2017-08-24 00:00,4316.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN"
2017-08-25T00:00:00.000-00:00,"2017-08-25 00:00,4280.68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN"
2017-08-26T00:00:00.000-00:00,"2017-08-26 00:00,4337.44,4172.386,NaN,NaN,3.956,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN"
2017-08-27T00:00:00.000-00:00,"2017-08-27 00:00,4310.01,4197.409,NaN,NaN,2.683,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN"
2017-08-28T00:00:00.000-00:00,"2017-08-28 00:00,4386.69,4231.823,NaN,NaN,3.66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN"
2017-08-29T00:00:00.000-00:00,"2017-08-29 00:00,4587.48,4296.488,NaN,NaN,6.773,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN"
2017-08-30T00:00:00.000-00:00,"2017-08-30 00:00,4555.14,4343.516,NaN,NaN,4.872,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN"
2017-08-31T00:00:00.000-00:00,"2017-08-31 00:00,4724.89,4412.857,NaN,NaN,7.071,NaN,NaN,5.763,NaN,NaN,NaN,NaN,NaN"
2017-09-01T00:00:00.000-00:00,"2017-09-01 00:00,4834.91,4489.594,NaN,NaN,7.691,NaN,NaN,6.961,NaN,NaN,NaN,NaN,NaN"
2017-09-02T00:00:00.000-00:00,"2017-09-02 00:00,4472.14,4486.42,NaN,NaN,-0.318,NaN,NaN,6.016,NaN,NaN,NaN,NaN,NaN"
2017-09-03T00:00:00.000-00:00,"2017-09-03 00:00,4509.08,4490.54,NaN,NaN,0.413,NaN,NaN,4.517,NaN,NaN,NaN,NaN,NaN"
2017-09-04T00:00:00.000-00:00,"2017-09-04 00:00,4100.11,4419.553,NaN,NaN,-7.228,NaN,NaN,1.751,NaN,NaN,NaN,NaN,NaN"
2017-09-05T00:00:00.000-00:00,"2017-09-05 00:00,4366.47,4409.901,NaN,NaN,-0.985,NaN,NaN,-0.067,NaN,NaN,NaN,NaN,NaN"
2017-09-06T00:00:00.000-00:00,"2017-09-06 00:00,4619.77,4448.059,NaN,NaN,3.86,NaN,NaN,-0.925,NaN,NaN,NaN,NaN,NaN"
2017-09-07T00:00:00.000-00:00,"2017-09-07 00:00,4691.61,4492.341,NaN,NaN,4.436,NaN,NaN,0.132,NaN,NaN,NaN,NaN,NaN"
2017-09-08T00:00:00.000-00:00,"2017-09-08 00:00,4282.8,4454.243,NaN,NaN,-3.849,NaN,NaN,-0.808,NaN,NaN,NaN,NaN,NaN"
2017-09-09T00:00:00.000-00:00,"2017-09-09 00:00,4258.81,4418.71,NaN,NaN,-3.619,NaN,NaN,-0.019,NaN,NaN,NaN,NaN,NaN"
2017-09-10T00:00:00.000-00:00,"2017-09-10 00:00,4130.37,4366.284,NaN,NaN,-5.403,NaN,NaN,-0.989,NaN,NaN,NaN,NaN,NaN"
2017-09-11T00:00:00.000-00:00,"2017-09-11 00:00,4208.47,4337.591,NaN,NaN,-2.977,NaN,NaN,-2.484,NaN,NaN,NaN,NaN,NaN"
2017-09-12T00:00:00.000-00:00,"2017-09-12 00:00,4163.72,4305.978,NaN,NaN,-3.304,NaN,NaN,-4.148,NaN,NaN,NaN,NaN,NaN"
2017-09-13T00:00:00.000-00:00,"2017-09-13 00:00,3944.69,4240.289,NaN,NaN,-6.971,NaN,NaN,-4.803,NaN,NaN,NaN,NaN,NaN"
2017-09-14T00:00:00.000-00:00,"2017-09-14 00:00,3189.02,4049.149,NaN,NaN,-21.242,NaN,NaN,-8.364,NaN,NaN,NaN,NaN,NaN"
2017-09-15T00:00:00.000-00:00,"2017-09-15 00:00,3700,3985.668,NaN,NaN,-7.167,NaN,NaN,-8.717,NaN,NaN,NaN,NaN,NaN"
2017-09-16T00:00:00.000-00:00,"2017-09-16 00:00,3714.95,3936.446,NaN,NaN,-5.627,NaN,NaN,-9.248,NaN,NaN,NaN,NaN,NaN"
2017-09-17T00:00:00.000-00:00,"2017-09-17 00:00,3699.99,3893.454,NaN,NaN,-4.969,NaN,NaN,-9.58,NaN,NaN,NaN,NaN,NaN"
2017-09-18T00:00:00.000-00:00,"2017-09-18 00:00,4035.01,3919.192,NaN,NaN,2.955,NaN,NaN,-7.573,NaN,NaN,NaN,NaN,NaN"
2017-09-19T00:00:00.000-00:00,"2017-09-19 00:00,3910.04,3917.528,NaN,NaN,-0.191,NaN,NaN,-3.251,NaN,NaN,NaN,NaN,NaN"
2017-09-20T00:00:00.000-00:00,"2017-09-20 00:00,3900,3914.341,NaN,NaN,-0.366,NaN,NaN,-1.79,NaN,NaN,NaN,NaN,NaN"
2017-09-21T00:00:00.000-00:00,"2017-09-21 00:00,3609.99,3859.004,NaN,NaN,-6.453,NaN,NaN,-1.967,NaN,NaN,NaN,NaN,NaN"
2017-09-22T00:00:00.000-00:00,"2017-09-22 00:00,3595.87,3811.162,NaN,NaN,-5.649,NaN,NaN,-2.114,NaN,NaN,NaN,NaN,NaN"
2017-09-23T00:00:00.000-00:00,"2017-09-23 00:00,3780,3805.496,NaN,NaN,-0.67,NaN,NaN,-2.901,NaN,NaN,NaN,NaN,NaN"
2017-09-24T00:00:00.000-00:00,"2017-09-24 00:00,3660.02,3779.046,NaN,NaN,-3.15,NaN,NaN,-3.535,NaN,NaN,NaN,NaN,NaN"
2017-09-25T00:00:00.000-00:00,"2017-09-25 00:00,3920.75,3804.81,NaN,NaN,3.047,NaN,NaN,-2.798,NaN,NaN,NaN,NaN,NaN"
2017-09-26T00:00:00.000-00:00,"2017-09-26 00:00,3882.35,3818.908,NaN,NaN,1.661,NaN,NaN,-1.039,NaN,NaN,NaN,NaN,NaN"
2017-09-27T00:00:00.000-00:00,"2017-09-27 00:00,4193,3886.925,NaN,NaN,7.874,NaN,NaN,1.988,NaN,NaN,NaN,NaN,NaN"
2017-09-28T00:00:00.000-00:00,"2017-09-28 00:00,4174.5,3939.211,NaN,NaN,5.973,NaN,NaN,3.514,NaN,NaN,NaN,NaN,NaN"
2017-09-29T00:00:00.000-00:00,"2017-09-29 00:00,4174.69,3982.026,NaN,NaN,4.838,NaN,NaN,5.371,NaN,NaN,NaN,NaN,NaN"
2017-09-30T00:00:00.000-00:00,"2017-09-30 00:00,4378.51,4054.114,NaN,NaN,8.002,NaN,NaN,6.552,NaN,NaN,NaN,NaN,NaN"
2017-10-01T00:00:00.000-00:00,"2017-10-01 00:00,4378.48,4113.089,NaN,NaN,6.452,NaN,NaN,7.703,NaN,NaN,NaN,NaN,NaN"
2017-10-02T00:00:00.000-00:00,"2017-10-02 00:00,4380,4161.619,NaN,NaN,5.248,NaN,NaN,7.067,NaN,NaN,NaN,NaN,NaN"
2017-10-03T00:00:00.000-00:00,"2017-10-03 00:00,4310,4188.597,NaN,NaN,2.898,NaN,NaN,6.331,NaN,NaN,NaN,NaN,NaN"
2017-10-04T00:00:00.000-00:00,"2017-10-04 00:00,4208.59,4192.232,NaN,NaN,0.39,NaN,NaN,5.279,NaN,NaN,NaN,NaN,NaN"
2017-10-05T00:00:00.000-00:00,"2017-10-05 00:00,4292.43,4210.45,NaN,NaN,1.947,NaN,NaN,3.856,NaN,NaN,NaN,NaN,NaN"
2017-10-06T00:00:00.000-00:00,"2017-10-06 00:00,4369,4239.277,NaN,NaN,3.06,NaN,NaN,3.068,NaN,NaN,NaN,NaN,NaN"
2017-10-07T00:00:00.000-00:00,"2017-10-07 00:00,4423,4272.681,NaN,NaN,3.518,NaN,NaN,2.669,NaN,NaN,NaN,NaN,NaN"
2017-10-08T00:00:00.000-00:00,"2017-10-08 00:00,4640,4339.467,NaN,NaN,6.926,NaN,NaN,3.602,NaN,NaN,NaN,NaN,NaN"
2017-10-09T00:00:00.000-00:00,"2017-10-09 00:00,4786.95,4420.827,NaN,NaN,8.282,NaN,NaN,5.453,NaN,NaN,NaN,NaN,NaN"
2017-10-10T00:00:00.000-00:00,"2017-10-10 00:00,4783.06,4486.688,4199.295,NaN,6.606,13.902,NaN,6.561,NaN,NaN,6.844,NaN,NaN"
2017-10-11T00:00:00.000-00:00,"2017-10-11 00:00,4821.43,4547.55,4221.514,NaN,6.023,14.211,NaN,7.272,NaN,NaN,7.723,NaN,NaN"
2017-10-12T00:00:00.000-00:00,"2017-10-12 00:00,5430,4707.995,4264.674,NaN,15.336,27.325,NaN,10.188,NaN,NaN,10.395,NaN,NaN"
2017-10-13T00:00:00.000-00:00,"2017-10-13 00:00,5649.98,4879.265,4314.149,NaN,15.796,30.964,NaN,12.439,NaN,NaN,13.099,NaN,NaN"
2017-10-14T00:00:00.000-00:00,"2017-10-14 00:00,5869.99,5059.397,4369.715,NaN,16.022,34.333,NaN,14.445,NaN,NaN,15.783,NaN,NaN"
2017-10-15T00:00:00.000-00:00,"2017-10-15 00:00,5709.99,5177.687,4417.582,NaN,10.281,29.256,NaN,15.401,5.198,NaN,17.206,NaN,NaN"
2017-10-16T00:00:00.000-00:00,"2017-10-16 00:00,5760.02,5283.565,4465.526,NaN,9.018,28.989,NaN,16.185,5.78,NaN,18.319,NaN,NaN"
2017-10-17T00:00:00.000-00:00,"2017-10-17 00:00,5595,5340.19,4505.865,NaN,4.772,24.172,NaN,13.428,5.656,NaN,18.516,NaN,NaN"
2017-10-18T00:00:00.000-00:00,"2017-10-18 00:00,5512.06,5371.439,4541.8,NaN,2.618,21.363,NaN,10.087,5.277,NaN,18.267,NaN,NaN"
2017-10-19T00:00:00.000-00:00,"2017-10-19 00:00,5683.9,5428.25,4582.59,NaN,4.71,24.032,NaN,7.29,4.872,NaN,18.454,NaN,NaN"
2017-10-20T00:00:00.000-00:00,"2017-10-20 00:00,6010.01,5534.025,4633.569,NaN,8.601,29.706,NaN,6.882,4.889,NaN,19.433,NaN,NaN"
2017-10-21T00:00:00.000-00:00,"2017-10-21 00:00,6024.97,5623.287,4683.262,NaN,7.143,28.649,NaN,6.43,4.876,NaN,20.072,NaN,NaN"
2017-10-22T00:00:00.000-00:00,"2017-10-22 00:00,5950.02,5682.693,4728.503,NaN,4.704,25.833,NaN,6.414,4.941,NaN,20.18,NaN,NaN"
2017-10-23T00:00:00.000-00:00,"2017-10-23 00:00,5915.93,5725.1,4770.911,NaN,3.333,24,NaN,6.584,5.044,NaN,20,NaN,NaN"
2017-10-24T00:00:00.000-00:00,"2017-10-24 00:00,5477.03,5679.996,4796.13,NaN,-3.573,14.197,NaN,4.638,4.66,NaN,18.429,NaN,NaN"
2017-10-25T00:00:00.000-00:00,"2017-10-25 00:00,5689.99,5681.813,4828.053,NaN,0.144,17.853,NaN,2.671,4.197,NaN,17.683,NaN,NaN"
2017-10-26T00:00:00.000-00:00,"2017-10-26 00:00,5861.77,5714.533,4864.972,NaN,2.577,20.489,NaN,1.623,3.88,NaN,17.463,NaN,NaN"
2017-10-27T00:00:00.000-00:00,"2017-10-27 00:00,5768.83,5724.405,4897.252,NaN,0.776,17.797,NaN,0.734,3.569,NaN,16.89,NaN,NaN"
2017-10-28T00:00:00.000-00:00,"2017-10-28 00:00,5719.64,5723.539,4926.623,NaN,-0.068,16.097,NaN,-0.027,3.264,NaN,16.176,NaN,NaN"
2017-10-29T00:00:00.000-00:00,"2017-10-29 00:00,6169.98,5804.71,4971.029,NaN,6.293,24.119,NaN,2.196,3.647,NaN,16.771,NaN,NaN"
2017-10-30T00:00:00.000-00:00,"2017-10-30 00:00,6120.5,5862.126,5012.082,NaN,4.408,22.115,NaN,3.174,3.812,NaN,16.96,NaN,NaN"
2017-10-31T00:00:00.000-00:00,"2017-10-31 00:00,6463,5971.376,5063.9,NaN,8.233,27.629,NaN,4.495,4.089,NaN,17.92,NaN,NaN"
2017-11-01T00:00:00.000-00:00,"2017-11-01 00:00,6753.98,6113.668,5124.26,NaN,10.473,31.804,NaN,6.8,4.635,NaN,19.308,NaN,NaN"
2017-11-02T00:00:00.000-00:00,"2017-11-02 00:00,7019.98,6278.452,5191.964,NaN,11.811,35.209,NaN,9.695,5.386,NaN,20.926,NaN,NaN"
2017-11-03T00:00:00.000-00:00,"2017-11-03 00:00,7115.04,6430.559,5260.646,NaN,10.644,35.25,NaN,10.782,5.826,NaN,22.239,NaN,NaN"
2017-11-04T00:00:00.000-00:00,"2017-11-04 00:00,7357.09,6599.019,5335.519,NaN,11.488,37.889,NaN,12.57,6.453,NaN,23.681,NaN,NaN"
2017-11-05T00:00:00.000-00:00,"2017-11-05 00:00,7345.01,6734.654,5407.286,NaN,9.063,35.835,NaN,12.782,6.781,NaN,24.548,NaN,NaN"
2017-11-06T00:00:00.000-00:00,"2017-11-06 00:00,6960.12,6775.648,5462.745,NaN,2.723,27.411,NaN,10.828,6.606,NaN,24.034,NaN,NaN"
2017-11-07T00:00:00.000-00:00,"2017-11-07 00:00,7064.04,6828.083,5519.934,NaN,3.456,27.973,NaN,8.754,6.317,NaN,23.699,NaN,NaN"
2017-11-08T00:00:00.000-00:00,"2017-11-08 00:00,7303,6914.431,5583.615,NaN,5.62,30.793,NaN,7.525,6.139,NaN,23.834,NaN,NaN"
2017-11-09T00:00:00.000-00:00,"2017-11-09 00:00,7079.99,6944.533,5637.057,NaN,1.951,25.597,NaN,5.236,5.652,NaN,23.194,NaN,NaN"
