Date,Message
2017-10-01T00:00:00.000-00:00,";4,378.48;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN"
2017-10-02T00:00:00.000-00:00,";4,380;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN"
2017-10-03T00:00:00.000-00:00,";4,310;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN"
2017-10-04T00:00:00.000-00:00,";4,208.59;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN"
2017-10-05T00:00:00.000-00:00,";4,292.43;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN"
2017-10-06T00:00:00.000-00:00,";4,369;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN"
2017-10-07T00:00:00.000-00:00,";4,423;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN"
2017-10-08T00:00:00.000-00:00,";4,640;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN"
2017-10-09T00:00:00.000-00:00,";4,786.95;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN"
2017-10-10T00:00:00.000-00:00,";4,783.06;4,457.151;NaN;NaN;7.312;NaN;NaN;NaN;NaN;NaN;NaN;NaN"
2017-10-11T00:00:00.000-00:00,";4,821.43;4,523.384;NaN;NaN;6.589;NaN;NaN;NaN;NaN;NaN;NaN;NaN"
2017-10-12T00:00:00.000-00:00,";5,430;4,688.223;NaN;NaN;15.822;NaN;NaN;NaN;NaN;NaN;NaN;NaN"
2017-10-13T00:00:00.000-00:00,";5,649.98;4,863.088;NaN;NaN;16.181;NaN;NaN;NaN;NaN;NaN;NaN;NaN"
2017-10-14T00:00:00.000-00:00,";5,869.99;5,046.161;NaN;NaN;16.326;NaN;NaN;NaN;NaN;NaN;NaN;NaN"
2017-10-15T00:00:00.000-00:00,";5,709.99;5,166.857;NaN;NaN;10.512;NaN;NaN;15.923;NaN;NaN;NaN;NaN"
2017-10-16T00:00:00.000-00:00,";5,760.02;5,274.705;NaN;NaN;9.201;NaN;NaN;16.61;NaN;NaN;NaN;NaN"
2017-10-17T00:00:00.000-00:00,";5,595;5,332.94;NaN;NaN;4.914;NaN;NaN;13.752;NaN;NaN;NaN;NaN"
2017-10-18T00:00:00.000-00:00,";5,512.06;5,365.508;NaN;NaN;2.731;NaN;NaN;10.331;NaN;NaN;NaN;NaN"
2017-10-19T00:00:00.000-00:00,";5,683.9;5,423.397;NaN;NaN;4.803;NaN;NaN;7.476;NaN;NaN;NaN;NaN"
2017-10-20T00:00:00.000-00:00,";6,010.01;5,530.054;NaN;NaN;8.679;NaN;NaN;7.029;NaN;NaN;NaN;NaN"
2017-10-21T00:00:00.000-00:00,";6,024.97;5,620.039;NaN;NaN;7.205;NaN;NaN;6.547;NaN;NaN;NaN;NaN"
2017-10-22T00:00:00.000-00:00,";5,950.02;5,680.035;NaN;NaN;4.753;NaN;NaN;6.509;NaN;NaN;NaN;NaN"
2017-10-23T00:00:00.000-00:00,";5,915.93;5,722.925;NaN;NaN;3.372;NaN;NaN;6.661;NaN;NaN;NaN;NaN"
2017-10-24T00:00:00.000-00:00,";5,477.03;5,678.217;NaN;NaN;-3.543;NaN;NaN;4.699;NaN;NaN;NaN;NaN"
2017-10-25T00:00:00.000-00:00,";5,689.99;5,680.358;NaN;NaN;0.17;NaN;NaN;2.718;NaN;NaN;NaN;NaN"
2017-10-26T00:00:00.000-00:00,";5,861.77;5,713.342;NaN;NaN;2.598;NaN;NaN;1.66;NaN;NaN;NaN;NaN"
2017-10-27T00:00:00.000-00:00,";5,768.83;5,723.43;NaN;NaN;0.793;NaN;NaN;0.764;NaN;NaN;NaN;NaN"
