Date,Message
2021-09-07T12:00:00.000-00:00,"2021-09-07 12:00,46656.07,50731.456,49803.22,46705.115,-8.033,-6.319,-0.105,-0.877,0.462,0.476,1.864,6.633,0.281"
2021-09-07T16:00:00.000-00:00,"2021-09-07 16:00,46694.59,49997.48,49692.197,46705.011,-6.606,-6.032,-0.022,-2.823,0.015,0.343,0.614,6.396,0.096"
2021-09-07T20:00:00.000-00:00,"2021-09-07 20:00,46863.73,49427.707,49591.181,46706.59,-5.187,-5.5,0.336,-4.338,-0.401,0.216,-0.33,6.176,-0.053"
2021-09-08T00:00:00.000-00:00,"2021-09-08 00:00,46450.41,48886.381,49479.01,46704.041,-4.983,-6.121,-0.543,-5.61,-0.808,0.088,-1.198,5.942,-0.202"
2021-09-08T04:00:00.000-00:00,"2021-09-08 04:00,45080.3,48194.366,49321.914,46687.884,-6.461,-8.6,-3.443,-6.667,-1.198,-0.038,-2.286,5.642,-0.405"
2021-09-08T08:00:00.000-00:00,"2021-09-08 08:00,46394.09,47867.043,49217.348,46684.961,-3.077,-5.736,-0.623,-5.646,-1.176,-0.043,-2.744,5.424,-0.506"
2021-09-08T12:00:00.000-00:00,"2021-09-08 12:00,46087.35,47543.462,49105.563,46679.014,-3.063,-6.146,-1.268,-4.908,-1.181,-0.056,-3.181,5.198,-0.612"
2021-09-08T16:00:00.000-00:00,"2021-09-08 16:00,46436.32,47342.164,49010.233,46676.6,-1.913,-5.252,-0.515,-4.219,-1.171,-0.064,-3.404,5,-0.681"
2021-09-08T20:00:00.000-00:00,"2021-09-08 20:00,46048.31,47106.918,48904.45,46670.348,-2.247,-5.84,-1.333,-3.64,-1.161,-0.072,-3.676,4.787,-0.768"
2021-09-09T00:00:00.000-00:00,"2021-09-09 00:00,46001.11,46905.862,48800.759,46663.689,-1.929,-5.737,-1.42,-2.674,-1.057,-0.052,-3.883,4.58,-0.848"
2021-09-09T04:00:00.000-00:00,"2021-09-09 04:00,46275,46791.16,48710.553,46659.821,-1.103,-5,-0.825,-2.248,-1.03,-0.054,-3.94,4.395,-0.897"
2021-09-09T08:00:00.000-00:00,"2021-09-09 08:00,46293.15,46700.612,48624.217,46656.173,-0.872,-4.794,-0.778,-1.773,-0.98,-0.049,-3.956,4.218,-0.938"
2021-09-09T12:00:00.000-00:00,"2021-09-09 12:00,47001.65,46755.347,48566.269,46659.61,0.527,-3.222,0.733,-1.24,-0.906,-0.036,-3.729,4.086,-0.913"
2021-09-09T16:00:00.000-00:00,"2021-09-09 16:00,46574.75,46722.511,48495.143,46658.766,-0.316,-3.96,-0.18,-0.816,-0.837,-0.025,-3.655,3.936,-0.929"
2021-09-09T20:00:00.000-00:00,"2021-09-09 20:00,46395.14,46662.989,48420.143,46656.143,-0.574,-4.182,-0.559,-0.518,-0.78,-0.016,-3.629,3.781,-0.96"
2021-09-10T00:00:00.000-00:00,"2021-09-10 00:00,46719.71,46673.302,48359.413,46656.775,0.099,-3.391,0.135,-0.252,-0.721,-0.007,-3.487,3.649,-0.955"
2021-09-10T04:00:00.000-00:00,"2021-09-10 04:00,46160.55,46580.074,48280.882,46651.838,-0.901,-4.392,-1.053,-0.258,-0.706,-0.009,-3.523,3.492,-1.009"
2021-09-10T08:00:00.000-00:00,"2021-09-10 08:00,46331.86,46534.944,48211.274,46648.654,-0.436,-3.898,-0.679,-0.471,-0.731,-0.023,-3.477,3.35,-1.038"
2021-09-10T12:00:00.000-00:00,"2021-09-10 12:00,45420.86,46332.384,48111.617,46636.437,-1.967,-5.593,-2.606,-0.835,-0.791,-0.048,-3.698,3.163,-1.169"
2021-09-10T16:00:00.000-00:00,"2021-09-10 16:00,45649.78,46208.274,48023.694,46626.62,-1.209,-4.943,-2.095,-0.974,-0.819,-0.063,-3.78,2.996,-1.262"
2021-09-10T20:00:00.000-00:00,"2021-09-10 20:00,44850.91,45961.48,47910.38,46608.951,-2.416,-6.386,-3.772,-1.525,-0.929,-0.103,-4.068,2.792,-1.457"
2021-09-11T00:00:00.000-00:00,"2021-09-11 00:00,45191.88,45821.553,47813.291,46594.851,-1.374,-5.483,-3.011,-1.628,-0.968,-0.122,-4.166,2.615,-1.593"
2021-09-11T04:00:00.000-00:00,"2021-09-11 04:00,45043.97,45680.174,47714.387,46579.419,-1.393,-5.597,-3.296,-1.837,-1.031,-0.148,-4.263,2.437,-1.75"
2021-09-11T08:00:00.000-00:00,"2021-09-11 08:00,45555.04,45657.423,47637.267,46569.226,-0.224,-4.371,-2.178,-1.457,-0.986,-0.144,-4.156,2.293,-1.812"
2021-09-11T12:00:00.000-00:00,"2021-09-11 12:00,45573.99,45642.253,47563.579,46559.323,-0.15,-4.183,-2.116,-1.225,-0.958,-0.144,-4.039,2.157,-1.873"
2021-09-11T16:00:00.000-00:00,"2021-09-11 16:00,45357.06,45590.4,47484.774,46547.361,-0.512,-4.481,-2.557,-0.807,-0.888,-0.132,-3.989,2.014,-1.981"
2021-09-11T20:00:00.000-00:00,"2021-09-11 20:00,45173.69,45514.634,47402.236,46533.692,-0.749,-4.701,-2.923,-0.67,-0.86,-0.131,-3.982,1.866,-2.133"
2021-09-12T00:00:00.000-00:00,"2021-09-12 00:00,45316.28,45478.57,47327.737,46521.579,-0.357,-4.25,-2.591,-0.441,-0.81,-0.124,-3.907,1.733,-2.255"
2021-09-12T04:00:00.000-00:00,"2021-09-12 04:00,45357.02,45456.47,47257.354,46509.991,-0.219,-4.021,-2.479,-0.44,-0.798,-0.127,-3.811,1.607,-2.372"
2021-09-12T08:00:00.000-00:00,"2021-09-12 08:00,46085.9,45570.912,47215.517,46505.771,1.13,-2.392,-0.903,-0.156,-0.732,-0.115,-3.483,1.526,-2.282"
2021-09-12T12:00:00.000-00:00,"2021-09-12 12:00,45886.99,45628.381,47168.069,46499.614,0.567,-2.716,-1.317,0.083,-0.667,-0.103,-3.264,1.438,-2.271"
2021-09-12T16:00:00.000-00:00,"2021-09-12 16:00,45902.87,45678.288,47122.884,46493.676,0.492,-2.589,-1.271,0.36,-0.589,-0.086,-3.066,1.353,-2.265"
2021-09-12T20:00:00.000-00:00,"2021-09-12 20:00,46025.24,45741.37,47083.682,46489.015,0.621,-2.248,-0.998,0.578,-0.516,-0.07,-2.851,1.279,-2.229"
2021-09-13T00:00:00.000-00:00,"2021-09-13 00:00,44617.79,45537.083,46995.615,46470.396,-2.019,-5.06,-3.987,0.177,-0.554,-0.085,-3.104,1.13,-2.746"
2021-09-13T04:00:00.000-00:00,"2021-09-13 04:00,44470.63,45343.182,46905.437,46450.498,-1.924,-5.191,-4.262,-0.5,-0.657,-0.119,-3.331,0.979,-3.401"
2021-09-13T08:00:00.000-00:00,"2021-09-13 08:00,44859.24,45255.193,46832.358,46434.665,-0.875,-4.213,-3.393,-0.818,-0.712,-0.14,-3.368,0.856,-3.932"
2021-09-13T12:00:00.000-00:00,"2021-09-13 12:00,44361.31,45092.669,46744.106,46414.034,-1.622,-5.098,-4.423,-1.282,-0.804,-0.171,-3.533,0.711,-4.968"
2021-09-13T16:00:00.000-00:00,"2021-09-13 16:00,44741.66,45028.849,46672.59,46397.394,-0.638,-4.137,-3.569,-1.558,-0.873,-0.197,-3.522,0.593,-5.938"
2021-09-13T20:00:00.000-00:00,"2021-09-13 20:00,44940.73,45012.827,46610.738,46382.899,-0.16,-3.583,-3.109,-1.151,-0.819,-0.188,-3.428,0.491,-6.979"
2021-09-14T00:00:00.000-00:00,"2021-09-14 00:00,45186.85,45044.468,46559.885,46370.999,0.316,-2.949,-2.554,-0.659,-0.737,-0.171,-3.255,0.407,-7.99"
2021-09-14T04:00:00.000-00:00,"2021-09-14 04:00,45720.02,45167.295,46529.89,46364.521,1.224,-1.741,-1.39,-0.194,-0.646,-0.151,-2.928,0.357,-8.21"
2021-09-14T08:00:00.000-00:00,"2021-09-14 08:00,45973.8,45313.933,46510.03,46360.633,1.456,-1.153,-0.834,0.491,-0.501,-0.115,-2.572,0.322,-7.98"
