Date,Message
2021-09-13T08:00:00.000-00:00,";44,859.24;45,255.193;46,832.358;46,434.665;-0.875;-4.213;-3.393;-0.818;-0.712;-0.14;-3.368;0.856"
2021-09-13T12:00:00.000-00:00,";44,361.31;45,092.669;46,744.106;46,414.034;-1.622;-5.098;-4.423;-1.282;-0.804;-0.171;-3.533;0.711"
2021-09-13T16:00:00.000-00:00,";44,741.66;45,028.849;46,672.59;46,397.394;-0.638;-4.137;-3.569;-1.558;-0.873;-0.197;-3.522;0.593"
2021-09-13T20:00:00.000-00:00,";44,940.73;45,012.827;46,610.738;46,382.899;-0.16;-3.583;-3.109;-1.151;-0.819;-0.188;-3.428;0.491"
2021-09-14T00:00:00.000-00:00,";45,186.85;45,044.468;46,559.885;46,370.999;0.316;-2.949;-2.554;-0.659;-0.737;-0.171;-3.255;0.407"
2021-09-14T04:00:00.000-00:00,";45,720.02;45,167.295;46,529.89;46,364.521;1.224;-1.741;-1.39;-0.194;-0.646;-0.151;-2.928;0.357"
2021-09-14T08:00:00.000-00:00,";45,973.8;45,313.933;46,510.03;46,360.633;1.456;-1.153;-0.834;0.491;-0.501;-0.115;-2.572;0.322"
2021-09-14T12:00:00.000-00:00,";46,754.42;45,575.839;46,518.758;46,364.552;2.586;0.507;0.841;1.215;-0.33;-0.071;-2.027;0.333"
2021-09-14T16:00:00.000-00:00,";46,474.89;45,739.303;46,517.191;46,365.65;1.608;-0.091;0.236;1.614;-0.201;-0.037;-1.672;0.327"
2021-09-14T20:00:00.000-00:00,";47,111.52;45,988.797;46,538.417;46,373.071;2.441;1.231;1.592;2.096;-0.046;0.004;-1.181;0.357"
2021-09-15T00:00:00.000-00:00,";47,075.48;46,186.376;46,557.598;46,380.06;1.925;1.112;1.499;2.256;0.06;0.034;-0.797;0.383"
2021-09-15T04:00:00.000-00:00,";47,172.84;46,365.733;46,579.571;46,387.949;1.741;1.274;1.692;2.321;0.15;0.059;-0.459;0.413"
2021-09-15T08:00:00.000-00:00,";47,560.74;46,583.007;46,614.613;46,399.618;2.099;2.03;2.502;2.21;0.206;0.076;-0.068;0.463"
2021-09-15T12:00:00.000-00:00,";48,288;46,893.006;46,674.377;46,418.408;2.975;3.457;4.028;2.522;0.338;0.114;0.468;0.551"
2021-09-15T16:00:00.000-00:00,";48,075.44;47,107.994;46,724.414;46,434.896;2.054;2.891;3.533;2.434;0.4;0.133;0.821;0.623"
2021-09-15T20:00:00.000-00:00,";48,121.41;47,292.251;46,774.307;46,451.677;1.753;2.88;3.595;2.394;0.465;0.154;1.107;0.695"
2021-09-16T00:00:00.000-00:00,";47,615.08;47,350.947;46,804.335;46,463.253;0.558;1.732;2.479;2.125;0.483;0.162;1.168;0.734"
2021-09-16T04:00:00.000-00:00,";48,343.52;47,531.415;46,859.306;46,481.962;1.709;3.167;4.005;2.036;0.525;0.177;1.434;0.812"
2021-09-16T08:00:00.000-00:00,";47,895.01;47,597.523;46,896.295;46,496.023;0.625;2.13;3.009;1.502;0.475;0.167;1.495;0.861"
2021-09-16T12:00:00.000-00:00,";48,020.24;47,674.381;46,936.436;46,511.189;0.725;2.309;3.244;1.202;0.454;0.164;1.572;0.914"
2021-09-16T16:00:00.000-00:00,";47,430.01;47,629.95;46,954.064;46,520.331;-0.42;1.014;1.955;0.714;0.384;0.148;1.439;0.932"
2021-09-16T20:00:00.000-00:00,";47,737.82;47,649.563;46,982.055;46,532.446;0.185;1.609;2.59;0.631;0.38;0.149;1.421;0.966"
2021-09-17T00:00:00.000-00:00,";47,899.83;47,695.066;47,014.833;46,546.052;0.429;1.882;2.908;0.344;0.332;0.138;1.447;1.007"
2021-09-17T04:00:00.000-00:00,";47,719.73;47,699.55;47,040.008;46,557.73;0.042;1.445;2.496;0.214;0.306;0.133;1.402;1.036"
2021-09-17T08:00:00.000-00:00,";47,403.56;47,645.734;47,052.992;46,566.146;-0.508;0.745;1.798;-0.06;0.248;0.118;1.26;1.045"
2021-09-17T12:00:00.000-00:00,";47,527.52;47,624.24;47,069.939;46,575.712;-0.203;0.972;2.044;-0.012;0.247;0.119;1.178;1.061"
2021-09-17T16:00:00.000-00:00,";47,501.68;47,601.957;47,085.358;46,584.926;-0.211;0.884;1.968;-0.1;0.22;0.113;1.097;1.074"
2021-09-17T20:00:00.000-00:00,";47,299.98;47,547.052;47,093.023;46,592.041;-0.52;0.439;1.519;-0.31;0.166;0.099;0.964;1.075"
2021-09-18T00:00:00.000-00:00,";47,924.57;47,615.691;47,122.721;46,605.3;0.649;1.702;2.831;-0.176;0.176;0.102;1.046;1.11"
2021-09-18T04:00:00.000-00:00,";48,622.01;47,798.658;47,176.267;46,625.366;1.723;3.065;4.282;0.321;0.262;0.127;1.319;1.182"
2021-09-18T08:00:00.000-00:00,";48,367.16;47,902.022;47,218.799;46,642.698;0.971;2.432;3.697;0.583;0.316;0.144;1.447;1.235"
2021-09-18T12:00:00.000-00:00,";48,414.99;47,995.289;47,261.52;46,660.332;0.874;2.441;3.76;0.826;0.374;0.162;1.553;1.288"
2021-09-18T16:00:00.000-00:00,";48,266;48,044.509;47,297.395;46,676.309;0.461;2.048;3.406;1.046;0.434;0.181;1.58;1.331"
2021-09-18T20:00:00.000-00:00,";48,292.74;48,089.642;47,332.943;46,692.393;0.422;2.028;3.427;0.995;0.446;0.187;1.599;1.372"
2021-09-19T00:00:00.000-00:00,";47,844.88;48,045.14;47,351.226;46,703.861;-0.417;1.043;2.443;0.516;0.371;0.168;1.465;1.386"
2021-09-19T04:00:00.000-00:00,";48,157.7;48,065.605;47,380.029;46,718.327;0.192;1.641;3.081;0.341;0.341;0.162;1.447;1.416"
2021-09-19T08:00:00.000-00:00,";47,327.73;47,931.446;47,378.161;46,724.39;-1.26;-0.106;1.291;-0.133;0.247;0.137;1.168;1.399"
2021-09-19T12:00:00.000-00:00,";47,646.72;47,879.678;47,387.752;46,733.568;-0.487;0.546;1.954;-0.343;0.191;0.123;1.038;1.4"
2021-09-19T16:00:00.000-00:00,";47,376.72;47,788.231;47,387.358;46,739.967;-0.861;-0.022;1.362;-0.627;0.115;0.102;0.846;1.385"
2021-09-19T20:00:00.000-00:00,";47,241.75;47,688.871;47,382.158;46,744.96;-0.938;-0.296;1.063;-0.742;0.065;0.088;0.647;1.363"
2021-09-20T00:00:00.000-00:00,";45,542.76;47,298.669;47,316.465;46,732.998;-3.712;-3.749;-2.547;-1.596;-0.134;0.031;-0.038;1.249"
2021-09-20T04:00:00.000-00:00,";44,824.89;46,848.891;47,227.481;46,714.012;-4.32;-5.087;-4.044;-2.259;-0.318;-0.022;-0.802;1.099"
2021-09-20T08:00:00.000-00:00,";43,739.75;46,283.593;47,102.919;46,684.417;-5.496;-7.14;-6.308;-3.334;-0.601;-0.105;-1.739;0.896"
2021-09-20T12:00:00.000-00:00,";43,844.88;45,840.19;46,986.56;46,656.163;-4.353;-6.686;-6.026;-4.076;-0.846;-0.179;-2.44;0.708"
2021-09-20T16:00:00.000-00:00,";43,850.25;45,478.383;46,874.549;46,628.244;-3.58;-6.452;-5.958;-4.635;-1.071;-0.25;-2.979;0.528"
2021-09-20T20:00:00.000-00:00,";43,015.62;45,030.608;46,736.73;46,592.297;-4.475;-7.962;-7.677;-4.795;-1.225;-0.301;-3.65;0.31"
2021-09-21T00:00:00.000-00:00,";42,683.01;44,603.772;46,591.954;46,553.399;-4.306;-8.39;-8.314;-4.792;-1.346;-0.344;-4.267;0.083"
2021-09-21T04:00:00.000-00:00,";43,301.07;44,366.917;46,474.423;46,521.037;-2.402;-6.828;-6.922;-4.141;-1.334;-0.35;-4.535;-0.1"
2021-09-21T08:00:00.000-00:00,";43,288.97;44,170.927;46,360.657;46,488.877;-1.997;-6.626;-6.883;-3.641;-1.332;-0.359;-4.723;-0.276"
2021-09-21T12:00:00.000-00:00,";43,072.81;43,971.269;46,243.234;46,454.887;-2.043;-6.856;-7.28;-3.314;-1.347;-0.372;-4.913;-0.456"
2021-09-21T16:00:00.000-00:00,";42,013.63;43,615.335;46,092.176;46,410.695;-3.672;-8.849;-9.474;-3.143;-1.379;-0.39;-5.374;-0.686"
2021-09-21T20:00:00.000-00:00,";40,734.38;43,091.525;45,900.826;46,354.214;-5.47;-11.256;-12.124;-3.39;-1.483;-0.428;-6.12;-0.978"
2021-09-22T00:00:00.000-00:00,";42,052.09;42,902.537;45,763.372;46,311.407;-1.982;-8.11;-9.197;-3.301;-1.53;-0.451;-6.251;-1.183"
2021-09-22T04:00:00.000-00:00,";42,540;42,836.621;45,648.251;46,273.881;-0.692;-6.809;-8.069;-3.021;-1.537;-0.462;-6.159;-1.352"
2021-09-22T08:00:00.000-00:00,";41,928.32;42,671.475;45,515.397;46,230.641;-1.742;-7.881;-9.306;-2.956;-1.574;-0.483;-6.248;-1.547"
2021-09-22T12:00:00.000-00:00,";43,222.96;42,771.745;45,433.524;46,200.714;1.055;-4.865;-6.445;-1.934;-1.429;-0.452;-5.859;-1.661"
2021-09-22T16:00:00.000-00:00,";43,384.9;42,883.228;45,360.359;46,172.696;1.17;-4.355;-6.038;-0.483;-1.177;-0.392;-5.461;-1.759"
2021-09-22T20:00:00.000-00:00,";43,543.61;43,003.297;45,295.475;46,146.536;1.256;-3.868;-5.641;0.235;-1.022;-0.356;-5.06;-1.844"
2021-09-23T00:00:00.000-00:00,";44,074.57;43,198.074;45,251.871;46,125.919;2.029;-2.602;-4.447;0.844;-0.868;-0.32;-4.539;-1.895"
2021-09-23T04:00:00.000-00:00,";44,229.99;43,385.695;45,215.375;46,107.054;1.946;-2.179;-4.071;1.674;-0.659;-0.267;-4.047;-1.934"
2021-09-23T08:00:00.000-00:00,";43,648.15;43,433.414;45,159.403;46,082.588;0.494;-3.346;-5.283;1.547;-0.603;-0.256;-3.822;-2.003"
2021-09-23T12:00:00.000-00:00,";43,747.63;43,490.544;45,108.982;46,059.354;0.591;-3.018;-5.019;1.416;-0.554;-0.245;-3.588;-2.063"
2021-09-23T16:00:00.000-00:00,";44,767.57;43,722.731;45,096.789;46,046.501;2.39;-0.73;-2.777;1.673;-0.439;-0.217;-3.047;-2.063"
2021-09-23T20:00:00.000-00:00,";44,865.26;43,930.463;45,088.52;46,034.747;2.128;-0.495;-2.54;1.695;-0.361;-0.198;-2.568;-2.055"
2021-09-24T00:00:00.000-00:00,";44,283.03;43,994.566;45,059.753;46,017.317;0.656;-1.724;-3.769;1.403;-0.344;-0.195;-2.364;-2.081"
2021-09-24T04:00:00.000-00:00,";44,818.46;44,144.365;45,051.135;46,005.388;1.527;-0.516;-2.58;1.637;-0.24;-0.168;-2.013;-2.074"
2021-09-24T08:00:00.000-00:00,";41,527.5;43,668.572;44,925.291;45,960.832;-4.903;-7.563;-9.646;0.409;-0.407;-0.214;-2.797;-2.253"
2021-09-24T12:00:00.000-00:00,";41,944.01;43,355.015;44,818.817;45,920.864;-3.255;-6.414;-8.66;-0.841;-0.616;-0.273;-3.266;-2.4"
2021-09-24T16:00:00.000-00:00,";42,371.43;43,176.181;44,731.41;45,885.546;-1.864;-5.276;-7.658;-1.717;-0.792;-0.324;-3.477;-2.515"
2021-09-24T20:00:00.000-00:00,";42,810.57;43,109.707;44,662.809;45,854.949;-0.694;-4.147;-6.639;-2.011;-0.881;-0.353;-3.477;-2.6"
2021-09-25T00:00:00.000-00:00,";42,608.11;43,018.507;44,589.427;45,822.642;-0.954;-4.443;-7.015;-2.55;-1.025;-0.397;-3.523;-2.691"
2021-09-25T04:00:00.000-00:00,";42,372.02;42,900.964;44,510.233;45,788.308;-1.233;-4.804;-7.461;-1.758;-0.924;-0.375;-3.616;-2.791"
2021-09-25T08:00:00.000-00:00,";42,485.03;42,825.34;44,437.905;45,755.439;-0.795;-4.395;-7.148;-1.222;-0.85;-0.36;-3.629;-2.88"
2021-09-25T12:00:00.000-00:00,";42,669.96;42,797.089;44,374.764;45,724.738;-0.297;-3.842;-6.681;-0.878;-0.797;-0.35;-3.555;-2.952"
2021-09-25T16:00:00.000-00:00,";42,665.95;42,773.245;44,313.735;45,694.302;-0.251;-3.718;-6.627;-0.78;-0.782;-0.35;-3.476;-3.021"
2021-09-25T20:00:00.000-00:00,";42,670.64;42,754.59;44,255.053;45,664.216;-0.196;-3.58;-6.556;-0.613;-0.75;-0.346;-3.39;-3.086"
2021-09-26T00:00:00.000-00:00,";42,212.4;42,656.01;44,182.101;45,629.87;-1.04;-4.458;-7.49;-0.571;-0.737;-0.346;-3.454;-3.173"
2021-09-26T04:00:00.000-00:00,";41,231.34;42,396.979;44,076.717;45,586.103;-2.749;-6.456;-9.553;-1;-0.813;-0.37;-3.811;-3.311"
2021-09-26T08:00:00.000-00:00,";43,063.57;42,518.177;44,040.533;45,561.003;1.283;-2.218;-5.482;-0.652;-0.753;-0.358;-3.457;-3.337"
2021-09-26T12:00:00.000-00:00,";43,343.73;42,668.278;44,015.647;45,538.941;1.583;-1.527;-4.821;-0.245;-0.673;-0.34;-3.061;-3.345"
2021-09-26T16:00:00.000-00:00,";43,252.54;42,774.507;43,988.393;45,516.191;1.118;-1.673;-4.973;0.047;-0.603;-0.324;-2.76;-3.357"
2021-09-26T20:00:00.000-00:00,";43,160.9;42,844.761;43,958.84;45,492.755;0.738;-1.815;-5.126;0.442;-0.505;-0.3;-2.534;-3.372"
2021-09-27T00:00:00.000-00:00,";44,038.75;43,061.85;43,961.694;45,478.287;2.269;0.175;-3.165;1.568;-0.261;-0.237;-2.047;-3.335"
2021-09-27T04:00:00.000-00:00,";43,688.03;43,175.701;43,951.92;45,460.474;1.187;-0.6;-3.899;1.546;-0.201;-0.221;-1.766;-3.318"
2021-09-27T08:00:00.000-00:00,";43,747.69;43,279.699;43,944.626;45,443.431;1.081;-0.448;-3.732;1.433;-0.161;-0.21;-1.513;-3.298"
2021-09-27T12:00:00.000-00:00,";43,293.26;43,282.164;43,921.363;45,422.036;0.026;-1.43;-4.687;1.187;-0.152;-0.207;-1.455;-3.304"
2021-09-27T16:00:00.000-00:00,";43,011.82;43,233.011;43,888.879;45,398.054;-0.512;-1.998;-5.256;0.906;-0.159;-0.208;-1.494;-3.324"
2021-09-27T20:00:00.000-00:00,";42,147.35;43,035.618;43,826.682;45,365.709;-2.064;-3.832;-7.094;-0.061;-0.307;-0.248;-1.805;-3.392"
2021-09-28T00:00:00.000-00:00,";42,558.4;42,948.851;43,781.386;45,337.775;-0.909;-2.793;-6.13;-0.525;-0.388;-0.27;-1.902;-3.433"
2021-09-28T04:00:00.000-00:00,";41,775.25;42,735.469;43,709.738;45,302.327;-2.247;-4.426;-7.786;-1.257;-0.535;-0.311;-2.229;-3.515"
2021-09-28T08:00:00.000-00:00,";42,101.49;42,620.2;43,652.301;45,270.478;-1.217;-3.553;-7;-1.529;-0.613;-0.334;-2.364;-3.574"
2021-09-28T12:00:00.000-00:00,";41,447.18;42,406.924;43,573.547;45,232.435;-2.263;-4.88;-8.368;-1.911;-0.718;-0.365;-2.677;-3.667"
2021-09-28T16:00:00.000-00:00,";41,601.99;42,260.572;43,503.134;45,196.312;-1.558;-4.37;-7.953;-1.801;-0.738;-0.373;-2.856;-3.746"
