date,close,ema10,ema55,ema200,dist_p10,dist_p55,dist_p200,slope10,slope55,slope200,dist_10_55,dist_55_200,ratio_armonico
2021-09-13T08:00,44859.240000,45255.193000,46832.358000,46434.665000,-0.875000,-4.213000,-3.393000,-0.818000,-0.712000,-0.140000,-3.368000,0.856000,-3.934579
2021-09-13T12:00,44361.310000,45092.669000,46744.106000,46414.034000,-1.622000,-5.098000,-4.423000,-1.282000,-0.804000,-0.171000,-3.533000,0.711000,-4.969058
2021-09-13T16:00,44741.660000,45028.849000,46672.590000,46397.394000,-0.638000,-4.137000,-3.569000,-1.558000,-0.873000,-0.197000,-3.522000,0.593000,-5.939292
2021-09-13T20:00,44940.730000,45012.827000,46610.738000,46382.899000,-0.160000,-3.583000,-3.109000,-1.151000,-0.819000,-0.188000,-3.428000,0.491000,-6.981670
2021-09-14T00:00,45186.850000,45044.468000,46559.885000,46370.999000,0.316000,-2.949000,-2.554000,-0.659000,-0.737000,-0.171000,-3.255000,0.407000,-7.997543
2021-09-14T04:00,45720.020000,45167.295000,46529.890000,46364.521000,1.224000,-1.741000,-1.390000,-0.194000,-0.646000,-0.151000,-2.928000,0.357000,-8.201681
2021-09-14T08:00,45973.800000,45313.933000,46510.030000,46360.633000,1.456000,-1.153000,-0.834000,0.491000,-0.501000,-0.115000,-2.572000,0.322000,-7.987578
2021-09-14T12:00,46754.420000,45575.839000,46518.758000,46364.552000,2.586000,0.507000,0.841000,1.215000,-0.330000,-0.071000,-2.027000,0.333000,-6.087087
2021-09-14T16:00,46474.890000,45739.303000,46517.191000,46365.650000,1.608000,-0.091000,0.236000,1.614000,-0.201000,-0.037000,-1.672000,0.327000,-5.113150
2021-09-14T20:00,47111.520000,45988.797000,46538.417000,46373.071000,2.441000,1.231000,1.592000,2.096000,-0.046000,0.004000,-1.181000,0.357000,-3.308123
2021-09-15T00:00,47075.480000,46186.376000,46557.598000,46380.060000,1.925000,1.112000,1.499000,2.256000,0.060000,0.034000,-0.797000,0.383000,-2.080940
2021-09-15T04:00,47172.840000,46365.733000,46579.571000,46387.949000,1.741000,1.274000,1.692000,2.321000,0.150000,0.059000,-0.459000,0.413000,-1.111380
2021-09-15T08:00,47560.740000,46583.007000,46614.613000,46399.618000,2.099000,2.030000,2.502000,2.210000,0.206000,0.076000,-0.068000,0.463000,-0.146868
2021-09-15T12:00,48288.000000,46893.006000,46674.377000,46418.408000,2.975000,3.457000,4.028000,2.522000,0.338000,0.114000,0.468000,0.551000,0.849365
2021-09-15T16:00,48075.440000,47107.994000,46724.414000,46434.896000,2.054000,2.891000,3.533000,2.434000,0.400000,0.133000,0.821000,0.623000,1.317817
2021-09-15T20:00,48121.410000,47292.251000,46774.307000,46451.677000,1.753000,2.880000,3.595000,2.394000,0.465000,0.154000,1.107000,0.695000,1.592806
2021-09-16T00:00,47615.080000,47350.947000,46804.335000,46463.253000,0.558000,1.732000,2.479000,2.125000,0.483000,0.162000,1.168000,0.734000,1.591281
2021-09-16T04:00,48343.520000,47531.415000,46859.306000,46481.962000,1.709000,3.167000,4.005000,2.036000,0.525000,0.177000,1.434000,0.812000,1.766010
2021-09-16T08:00,47895.010000,47597.523000,46896.295000,46496.023000,0.625000,2.130000,3.009000,1.502000,0.475000,0.167000,1.495000,0.861000,1.736353
2021-09-16T12:00,48020.240000,47674.381000,46936.436000,46511.189000,0.725000,2.309000,3.244000,1.202000,0.454000,0.164000,1.572000,0.914000,1.719912
2021-09-16T16:00,47430.010000,47629.950000,46954.064000,46520.331000,-0.420000,1.014000,1.955000,0.714000,0.384000,0.148000,1.439000,0.932000,1.543991
2021-09-16T20:00,47737.820000,47649.563000,46982.055000,46532.446000,0.185000,1.609000,2.590000,0.631000,0.380000,0.149000,1.421000,0.966000,1.471014
2021-09-17T00:00,47899.830000,47695.066000,47014.833000,46546.052000,0.429000,1.882000,2.908000,0.344000,0.332000,0.138000,1.447000,1.007000,1.436941
2021-09-17T04:00,47719.730000,47699.550000,47040.008000,46557.730000,0.042000,1.445000,2.496000,0.214000,0.306000,0.133000,1.402000,1.036000,1.353282
2021-09-17T08:00,47403.560000,47645.734000,47052.992000,46566.146000,-0.508000,0.745000,1.798000,-0.060000,0.248000,0.118000,1.260000,1.045000,1.205742
2021-09-17T12:00,47527.520000,47624.240000,47069.939000,46575.712000,-0.203000,0.972000,2.044000,-0.012000,0.247000,0.119000,1.178000,1.061000,1.110273
2021-09-17T16:00,47501.680000,47601.957000,47085.358000,46584.926000,-0.211000,0.884000,1.968000,-0.100000,0.220000,0.113000,1.097000,1.074000,1.021415
2021-09-17T20:00,47299.980000,47547.052000,47093.023000,46592.041000,-0.520000,0.439000,1.519000,-0.310000,0.166000,0.099000,0.964000,1.075000,0.896744
2021-09-18T00:00,47924.570000,47615.691000,47122.721000,46605.300000,0.649000,1.702000,2.831000,-0.176000,0.176000,0.102000,1.046000,1.110000,0.942342
