date,close,ema10,ema55,ema200,dist_p10,dist_p55,dist_p200,slope10,slope55,slope200,dist_10_55,dist_55_200,ratio_armonico
2006-04-20 17:30:00,37.74,37.37,36.958,,0.99,2.116,,1.092,0.328,,1.115,,
2006-04-21 13:30:00,37.88,37.463,36.991,,1.114,2.404,,1.152,0.367,,1.276,,
2006-04-21 17:30:00,37.45,37.46,37.007,,-0.028,1.196,,1.01,0.367,,1.225,,
2006-04-24 13:30:00,37.04,37.384,37.008,,-0.92,0.085,,0.565,0.303,,1.015,,
2006-04-24 17:30:00,37.22,37.354,37.016,,-0.359,0.551,,0.178,0.236,,0.914,,
2006-04-25 13:30:00,37.57,37.393,37.036,,0.472,1.442,,0.063,0.211,,0.966,,
2006-04-25 17:30:00,37.65,37.44,37.058,,0.561,1.598,,-0.061,0.181,,1.032,,
2006-04-26 13:30:00,38.285,37.594,37.102,,1.839,3.19,,0.356,0.255,,1.327,,
2006-04-26 17:30:00,38.11,37.688,37.138,,1.121,2.618,,0.812,0.349,,1.481,,
2006-04-27 13:30:00,39.29,37.979,37.214,,3.452,5.577,,1.672,0.536,,2.054,,
2006-04-27 17:30:00,39.45,38.246,37.294,,3.147,5.78,,2.281,0.698,,2.553,,
2006-04-28 13:30:00,39.51,38.476,37.373,,2.687,5.717,,2.767,0.852,,2.951,,
2006-04-28 17:30:00,39.23,38.613,37.44,,1.597,4.782,,2.712,0.911,,3.134,,
2006-05-01 13:30:00,38.3,38.556,37.47,,-0.664,2.214,,2.305,0.896,,2.898,,
2006-05-01 17:30:00,38.2,38.491,37.496,,-0.757,1.876,,1.35,0.758,,2.654,,
2006-05-02 13:30:00,38.62,38.515,37.537,,0.273,2.886,,0.702,0.65,,2.606,,
2006-05-02 17:30:00,38.35,38.485,37.566,,-0.35,2.088,,0.023,0.514,,2.447,,
2006-05-03 13:30:00,34.69,37.795,37.463,,-8.215,-7.402,,-2.119,0.062,,0.886,,
2006-05-03 17:30:00,35.02,37.29,37.376,,-6.088,-6.303,,-3.283,-0.253,,-0.228,,
2006-05-04 13:30:00,34.04,36.699,37.257,,-7.246,-8.634,,-4.656,-0.64,,-1.496,,
2006-05-04 17:30:00,34.31,36.265,37.151,,-5.391,-7.648,,-5.842,-1.026,,-2.386,,
2006-05-05 13:30:00,34.4,35.926,37.053,,-4.247,-7.16,,-6.649,-1.364,,-3.042,,
2006-05-05 17:30:00,34.18,35.608,36.95,,-4.012,-7.498,,-5.785,-1.368,,-3.632,,
2006-05-08 13:30:00,34.04,35.323,36.847,,-3.633,-7.617,,-5.275,-1.416,,-4.134,,
2006-05-08 17:30:00,33.68,35.024,36.733,,-3.839,-8.312,,-4.564,-1.404,,-4.652,,
2006-05-09 13:30:00,33.26,34.704,36.609,,-4.16,-9.149,,-4.305,-1.459,,-5.206,,
2006-05-09 17:30:00,33.2,34.43,36.488,,-3.573,-9.01,,-4.163,-1.526,,-5.638,,
2006-05-10 13:30:00,33.59,34.278,36.384,,-2.006,-7.68,,-3.738,-1.533,,-5.79,,
2006-05-10 17:30:00,33.38,34.114,36.277,,-2.153,-7.985,,-3.423,-1.546,,-5.961,,
2006-05-11 13:30:00,32.9,33.894,36.156,,-2.931,-9.006,,-3.229,-1.571,,-6.258,,
2006-05-11 17:30:00,32.62,33.662,36.03,,-3.095,-9.464,,-3.002,-1.583,,-6.572,,
2006-05-12 13:30:00,32.08,33.374,35.889,,-3.878,-10.613,,-3.067,-1.641,,-7.006,,
2006-05-12 17:30:00,31.91,33.108,35.747,,-3.619,-10.733,,-3.412,-1.752,,-7.382,,
2006-05-15 13:30:00,32.082,32.922,35.616,,-2.55,-9.922,,-3.496,-1.822,,-7.565,,
2006-05-15 17:30:00,32.19,32.789,35.494,,-1.825,-9.307,,-3.26,-1.833,,-7.621,,
2006-05-16 13:30:00,32.68,32.769,35.393,,-0.271,-7.666,,-2.653,-1.768,,-7.415,,
2006-05-16 17:30:00,32.25,32.674,35.281,,-1.299,-8.591,,-2.097,-1.694,,-7.387,,
2006-05-17 13:30:00,31.56,32.472,35.148,,-2.808,-10.208,,-1.922,-1.675,,-7.614,,
2006-05-17 17:30:00,31.18,32.237,35.006,,-3.279,-10.93,,-2.079,-1.712,,-7.911,,
2006-05-18 13:30:00,30.67,31.952,34.851,,-4.012,-11.998,,-2.551,-1.809,,-8.319,,
2006-05-18 17:30:00,30.14,31.623,34.683,,-4.688,-13.099,,-3.498,-2.006,,-8.824,,
2006-05-19 13:30:00,30.14,31.353,34.521,,-3.869,-12.69,,-4.044,-2.154,,-9.176,,
2006-05-19 17:30:00,30.31,31.163,34.37,,-2.738,-11.814,,-4.029,-2.212,,-9.331,,
2006-05-22 13:30:00,29.94,30.941,34.212,,-3.235,-12.487,,-4.02,-2.268,,-9.562,,
2006-05-22 17:30:00,29.9,30.752,34.058,,-2.77,-12.209,,-3.757,-2.276,,-9.708,,
2006-05-23 13:30:00,29.04,30.44,33.879,,-4.601,-14.283,,-3.738,-2.318,,-10.149,,
2006-05-23 17:30:00,28.91,30.162,33.702,,-4.152,-14.218,,-3.798,-2.373,,-10.502,,
2006-05-24 13:30:00,29.37,30.018,33.547,,-2.159,-12.451,,-3.675,-2.396,,-10.519,,
2006-05-24 17:30:00,29.29,29.886,33.395,,-1.994,-12.292,,-3.41,-2.389,,-10.508,,
2006-05-25 13:30:00,29.02,29.728,33.239,,-2.383,-12.692,,-3.328,-2.407,,-10.561,,
2006-05-25 17:30:00,29.11,29.616,33.091,36.933,-1.708,-12.031,-21.182,-2.709,-2.326,,-10.502,-10.403,1.01
2006-05-26 13:30:00,28.97,29.498,32.944,36.854,-1.792,-12.063,-21.392,-2.2,-2.248,,-10.458,-10.61,0.986
2006-05-26 17:30:00,28.98,29.404,32.802,36.776,-1.443,-11.653,-21.198,-2.045,-2.219,,-10.359,-10.804,0.959
2006-05-30 13:30:00,28.61,29.26,32.653,36.694,-2.221,-12.381,-22.032,-2.095,-2.222,,-10.391,-11.015,0.943
2006-05-30 17:30:00,28.34,29.093,32.499,36.611,-2.587,-12.796,-22.592,-2.139,-2.226,,-10.481,-11.233,0.933
2006-05-31 13:30:00,28.71,29.023,32.363,36.533,-1.079,-11.288,-21.413,-2.002,-2.199,-1.085,-10.321,-11.413,0.904
2006-05-31 17:30:00,28.57,28.941,32.228,36.453,-1.281,-11.35,-21.626,-1.891,-2.174,-1.087,-10.2,-11.592,0.88
2006-06-01 13:30:00,28.65,28.888,32.1,36.376,-0.823,-10.748,-21.239,-1.756,-2.141,-1.087,-10.007,-11.754,0.851
2006-06-01 17:30:00,28.7,28.854,31.979,36.299,-0.533,-10.253,-20.935,-1.388,-2.064,-1.076,-9.772,-11.903,0.821
2006-06-02 13:30:00,28.99,28.878,31.872,36.227,0.386,-9.042,-19.976,-0.736,-1.928,-1.05,-9.392,-12.021,0.781
2006-06-02 17:30:00,29.0,28.901,31.769,36.155,0.344,-8.717,-19.789,-0.422,-1.835,-1.034,-9.03,-12.13,0.744
2006-06-05 13:30:00,29.5,29.01,31.688,36.089,1.691,-6.906,-18.257,0.238,-1.674,-1.001,-8.453,-12.193,0.693
2006-06-05 17:30:00,29.47,29.093,31.609,36.023,1.295,-6.767,-18.19,0.711,-1.53,-0.971,-7.959,-12.252,0.65
2006-06-06 13:30:00,29.8,29.222,31.544,35.961,1.979,-5.53,-17.132,1.276,-1.358,-0.933,-7.363,-12.281,0.6
2006-06-06 17:30:00,29.82,29.331,31.483,35.9,1.669,-5.282,-16.935,1.565,-1.221,-0.903,-6.836,-12.303,0.556
2006-06-07 13:30:00,29.41,29.345,31.409,35.835,0.222,-6.364,-17.93,1.538,-1.135,-0.884,-6.571,-12.352,0.532
2006-06-07 17:30:00,28.81,29.248,31.316,35.765,-1.497,-8.002,-19.447,0.821,-1.175,-0.896,-6.605,-12.44,0.531
2006-06-08 13:30:00,27.69,28.964,31.186,35.685,-4.4,-11.212,-22.404,-0.443,-1.337,-0.938,-7.125,-12.606,0.565
2006-06-08 17:30:00,27.85,28.762,31.067,35.607,-3.17,-10.356,-21.785,-1.574,-1.512,-0.984,-7.421,-12.749,0.582
2006-06-09 13:30:00,28.04,28.631,30.959,35.532,-2.063,-9.429,-21.084,-2.386,-1.663,-1.025,-7.522,-12.868,0.584
2006-06-09 17:30:00,28.0,28.516,30.854,35.457,-1.809,-9.249,-21.03,-2.825,-1.768,-1.056,-7.576,-12.982,0.584
2006-06-12 13:30:00,29.27,28.653,30.797,35.395,2.153,-4.958,-17.305,-2.033,-1.657,-1.035,-6.961,-12.991,0.536
2006-06-12 17:30:00,28.84,28.687,30.727,35.33,0.533,-6.141,-18.369,-0.958,-1.473,-0.995,-6.639,-13.028,0.51
2006-06-13 13:30:00,29.16,28.773,30.671,35.268,1.345,-4.927,-17.32,0.039,-1.275,-0.95,-6.189,-13.035,0.475
2006-06-13 17:30:00,28.92,28.8,30.609,35.205,0.418,-5.517,-17.853,0.591,-1.133,-0.918,-5.91,-13.057,0.453
2006-06-14 13:30:00,28.75,28.791,30.542,35.141,-0.141,-5.868,-18.187,0.964,-1.009,-0.89,-5.735,-13.087,0.438
2006-06-14 17:30:00,28.57,28.751,30.472,35.076,-0.628,-6.241,-18.548,0.34,-1.056,-0.902,-5.648,-13.126,0.43
2006-06-15 13:30:00,28.0,28.614,30.383,35.005,-2.146,-7.845,-20.012,-0.254,-1.118,-0.919,-5.823,-13.203,0.441
2006-06-15 17:30:00,28.96,28.677,30.333,34.945,0.987,-4.525,-17.127,-0.334,-1.104,-0.917,-5.458,-13.199,0.414
2006-06-16 13:30:00,29.3,28.79,30.296,34.889,1.77,-3.287,-16.019,-0.033,-1.022,-0.899,-4.969,-13.165,0.377
2006-06-16 17:30:00,29.107,28.848,30.253,34.831,0.899,-3.788,-16.434,0.199,-0.946,-0.881,-4.646,-13.144,0.353
2006-06-19 13:30:00,28.82,28.843,30.202,34.772,-0.079,-4.576,-17.116,0.321,-0.885,-0.867,-4.501,-13.141,0.342
2006-06-19 17:30:00,28.77,28.83,30.151,34.712,-0.207,-4.58,-17.118,0.753,-0.765,-0.838,-4.383,-13.139,0.334
2006-06-20 13:30:00,29.64,28.977,30.133,34.661,2.288,-1.635,-14.487,1.046,-0.659,-0.812,-3.836,-13.065,0.294
2006-06-20 17:30:00,29.54,29.079,30.112,34.61,1.584,-1.898,-14.65,1.004,-0.608,-0.798,-3.428,-12.999,0.264
2006-06-21 13:30:00,29.78,29.207,30.1,34.562,1.963,-1.062,-13.837,1.244,-0.508,-0.772,-2.967,-12.912,0.23
2006-06-21 17:30:00,29.9,29.333,30.093,34.516,1.934,-0.64,-13.373,1.699,-0.363,-0.735,-2.525,-12.816,0.197
2006-06-22 13:30:00,30.79,29.598,30.117,34.479,4.028,2.233,-10.699,2.664,-0.111,-0.671,-1.726,-12.65,0.136
2006-06-22 17:30:00,30.87,29.829,30.144,34.443,3.49,2.407,-10.374,2.941,0.039,-0.63,-1.046,-12.48,0.084
2006-06-23 13:30:00,30.82,30.009,30.169,34.407,2.702,2.16,-10.425,3.198,0.189,-0.588,-0.528,-12.319,0.043
2006-06-23 17:30:00,30.59,30.115,30.184,34.369,1.578,1.347,-10.995,3.109,0.279,-0.56,-0.228,-12.178,0.019
2006-06-26 13:30:00,30.72,30.225,30.203,34.333,1.638,1.713,-10.523,3.041,0.366,-0.531,0.073,-12.029,-0.006
2006-06-26 17:30:00,30.69,30.309,30.22,34.296,1.256,1.555,-10.515,2.405,0.341,-0.529,0.296,-11.886,-0.025
2006-06-27 13:30:00,30.15,30.28,30.218,34.255,-0.431,-0.224,-11.984,1.513,0.243,-0.545,0.208,-11.787,-0.018
2006-06-27 17:30:00,29.93,30.217,30.207,34.212,-0.949,-0.918,-12.516,0.691,0.129,-0.566,0.031,-11.706,-0.003
2006-06-28 13:30:00,29.7,30.123,30.189,34.167,-1.403,-1.621,-13.075,0.026,0.019,-0.587,-0.22,-11.643,0.019
2006-06-28 17:30:00,30.07,30.113,30.185,34.126,-0.143,-0.381,-11.887,-0.369,-0.059,-0.601,-0.238,-11.55,0.021
2006-06-29 13:30:00,30.01,30.094,30.179,34.086,-0.281,-0.559,-11.957,-0.709,-0.137,-0.615,-0.279,-11.462,0.024
2006-06-29 17:30:00,30.44,30.157,30.188,34.049,0.938,0.835,-10.6,-0.407,-0.098,-0.601,-0.102,-11.34,0.009
2006-06-30 13:30:00,30.53,30.225,30.2,34.014,1.009,1.092,-10.243,0.027,-0.023,-0.578,0.082,-11.213,-0.007
2006-06-30 17:30:00,30.43,30.262,30.208,33.979,0.554,0.733,-10.444,0.463,0.064,-0.552,0.178,-11.095,-0.016
2006-07-03 13:30:00,30.65,30.333,30.224,33.945,1.046,1.409,-9.708,0.729,0.13,-0.53,0.359,-10.962,-0.033
2006-07-05 13:30:00,29.89,30.252,30.212,33.905,-1.198,-1.067,-11.842,0.525,0.111,-0.529,0.132,-10.892,-0.012
2006-07-05 17:30:00,29.83,30.175,30.199,33.865,-1.145,-1.221,-11.914,0.061,0.035,-0.542,-0.077,-10.825,0.007
2006-07-06 13:30:00,29.55,30.062,30.175,33.822,-1.702,-2.073,-12.63,-0.54,-0.082,-0.566,-0.377,-10.78,0.035
2006-07-06 17:30:00,29.56,29.971,30.153,33.779,-1.37,-1.968,-12.491,-0.964,-0.182,-0.587,-0.607,-10.734,0.057
2006-07-07 13:30:00,29.42,29.87,30.127,33.736,-1.508,-2.348,-12.793,-1.524,-0.321,-0.617,-0.853,-10.696,0.08
2006-07-07 17:30:00,29.41,29.787,30.102,33.693,-1.265,-2.298,-12.711,-1.539,-0.366,-0.626,-1.046,-10.658,0.098
2006-07-10 13:30:00,29.54,29.742,30.082,33.651,-0.679,-1.801,-12.218,-1.437,-0.388,-0.629,-1.129,-10.608,0.106
2006-07-10 17:30:00,29.26,29.654,30.052,33.608,-1.33,-2.636,-12.937,-1.356,-0.408,-0.632,-1.324,-10.579,0.125
2006-07-11 13:30:00,29.23,29.577,30.023,33.564,-1.174,-2.641,-12.913,-1.313,-0.433,-0.636,-1.485,-10.551,0.141
2006-07-11 17:30:00,29.59,29.579,30.007,33.525,0.036,-1.391,-11.737,-0.974,-0.398,-0.626,-1.426,-10.491,0.136
2006-07-12 13:30:00,28.52,29.387,29.954,33.475,-2.95,-4.788,-14.802,-1.343,-0.49,-0.647,-1.895,-10.517,0.18
2006-07-12 17:30:00,28.57,29.238,29.905,33.426,-2.286,-4.464,-14.528,-1.693,-0.588,-0.67,-2.229,-10.534,0.212
2006-07-13 13:30:00,28.48,29.1,29.854,33.377,-2.132,-4.602,-14.671,-1.868,-0.66,-0.687,-2.524,-10.555,0.239
2006-07-13 17:30:00,28.1,28.919,29.791,33.324,-2.831,-5.677,-15.677,-2.227,-0.771,-0.715,-2.93,-10.602,0.276
2006-07-14 13:30:00,28.24,28.795,29.736,33.274,-1.928,-5.031,-15.128,-2.651,-0.905,-0.748,-3.164,-10.632,0.298
2006-07-14 17:30:00,28.01,28.652,29.674,33.221,-2.242,-5.609,-15.687,-2.499,-0.935,-0.757,-3.444,-10.677,0.323
2006-07-17 13:30:00,27.64,28.468,29.602,33.166,-2.91,-6.627,-16.661,-2.633,-1.014,-0.779,-3.829,-10.747,0.356
2006-07-17 17:30:00,27.59,28.309,29.53,33.11,-2.539,-6.569,-16.673,-2.721,-1.086,-0.798,-4.135,-10.814,0.382
2006-07-18 13:30:00,27.58,28.176,29.46,33.055,-2.116,-6.382,-16.564,-2.567,-1.112,-0.807,-4.358,-10.876,0.401
2006-07-18 17:30:00,27.69,28.088,29.397,33.002,-1.416,-5.807,-16.096,-2.457,-1.14,-0.817,-4.453,-10.924,0.408
2006-07-19 13:30:00,28.58,28.177,29.368,32.958,1.429,-2.682,-13.283,-1.658,-1.033,-0.793,-4.054,-10.893,0.372
2006-07-19 17:30:00,28.41,28.22,29.334,32.913,0.675,-3.149,-13.681,-0.874,-0.906,-0.763,-3.798,-10.875,0.349
2006-07-20 13:30:00,28.31,28.236,29.297,32.867,0.262,-3.369,-13.865,-0.257,-0.788,-0.735,-3.622,-10.862,0.333
2006-07-20 17:30:00,28.04,28.2,29.252,32.819,-0.569,-4.144,-14.561,0.086,-0.706,-0.715,-3.595,-10.868,0.331
2006-07-21 13:30:00,27.69,28.108,29.196,32.768,-1.486,-5.159,-15.496,0.071,-0.682,-0.709,-3.729,-10.899,0.342
2006-07-21 17:30:00,27.66,28.026,29.141,32.717,-1.307,-5.084,-15.457,-0.536,-0.771,-0.731,-3.827,-10.929,0.35
2006-07-24 13:30:00,27.11,27.86,29.069,32.661,-2.691,-6.739,-16.996,-1.276,-0.902,-0.764,-4.16,-10.999,0.378
2006-07-24 17:30:00,27.37,27.771,29.008,32.609,-1.443,-5.647,-16.065,-1.648,-0.986,-0.786,-4.266,-11.041,0.386
2006-07-25 13:30:00,26.79,27.592,28.929,32.551,-2.908,-7.394,-17.698,-2.156,-1.105,-0.817,-4.621,-11.126,0.415
2006-07-25 17:30:00,27.23,27.526,28.868,32.498,-1.077,-5.675,-16.21,-2.068,-1.123,-0.824,-4.648,-11.168,0.416
2006-07-26 13:30:00,26.64,27.365,28.789,32.439,-2.65,-7.464,-17.878,-2.358,-1.21,-0.848,-4.945,-11.254,0.439
2006-07-26 17:30:00,26.88,27.277,28.721,32.384,-1.456,-6.409,-16.996,-2.091,-1.198,-0.848,-5.026,-11.313,0.444
2006-07-27 13:30:00,26.82,27.194,28.653,32.329,-1.375,-6.396,-17.04,-2.077,-1.226,-0.858,-5.091,-11.371,0.448
